Day,Date,Country,Violation_Nature,Attackers,Victim_Occupation,Gender,Total_Victims,Article,Violation_ID,Country_Latitude,Country_Longitude,RSF_Index,RSF_Score,WB_VA,WB_PS,WB_GovE,WB_RQ,WB_RoL,WB_CoC
Sunday,2018-01-01,Syria,Physical assault/Injuries ,Syrian Army ,Activist,Male,1.0,https://www.skeyesmedia.org/en/News/News/28-01-2018/6954,18,34.8021,38.9968,179.0,17.41,1.47,0.0,3.3,3.77,1.41,0.47
Sunday,2018-01-01,Syria,Physical assault/Injuries ,Syrian Army ,Activist,Male,1.0,https://www.skeyesmedia.org/en/News/News/28-01-2018/6954,18,34.8021,38.9968,179.0,17.41,1.47,0.0,3.3,3.77,1.41,0.47
Monday,2018-01-01,Syria,Physical assault/Injuries ,Syrian Army ,Activist,Male,1.0,https://www.skeyesmedia.org/en/News/News/29-01-2018/6955,19,34.8021,38.9968,179.0,17.41,1.47,0.0,3.3,3.77,1.41,0.47
Monday,2018-01-01,Syria,Physical assault/Injuries ,Syrian Army ,Activist,Male,1.0,https://www.skeyesmedia.org/en/News/News/29-01-2018/6955,19,34.8021,38.9968,179.0,17.41,1.47,0.0,3.3,3.77,1.41,0.47
Monday,2018-01-01,Syria,Physical assault/Injuries ,Syrian Army ,Activist,Male,1.0,https://www.skeyesmedia.org/en/News/News/29-01-2018/6955,19,34.8021,38.9968,179.0,17.41,1.47,0.0,3.3,3.77,1.41,0.47
Tuesday,2018-01-01,Syria,Physical assault/Injuries ,Syrian Army ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/02-01-2018/6951,20,34.8021,38.9968,179.0,17.41,1.47,0.0,3.3,3.77,1.41,0.47
Wednesday,2018-01-01,Palestine,Detention ,Hamas ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/25-01-2018/6925,21,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Saturday,2018-01-01,Lebanon,Summons ,Lebanese Judiciary ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/29-01-2018/6937,11,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Monday,2018-01-01,Lebanon,Summons ,Lebanese Judiciary ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/22-01-2018/6915,22,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Saturday,2018-01-01,Palestine,Physical assault/Injuries ,Police or Israeli Intelligence ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/23-01-2018/6919,23,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Wednesday,2018-01-01,Lebanon,Summons ,Lebanese Judiciary ,Activist,Female,1.0,https://www.skeyesmedia.org/en/News/News/04-01-2018/6872,24,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Thursday,2018-01-01,Lebanon,Prison Sentence ,Lebanese Judiciary ,Journalist,Female,1.0,https://www.skeyesmedia.org/en/News/News/04-01-2018/6873,25,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Thursday,2018-01-01,Lebanon,Summons ,Lebanese Judiciary ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/04-01-2018/6874,26,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Tuesday,2018-01-01,Palestine,Detention ,Hamas ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/09-01-2018/6884,27,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Tuesday,2018-01-01,Lebanon,Summons ,Lebanese Security Services ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/11-01-2018/6887,28,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Wednesday,2018-01-01,Palestine,Detention ,Hamas ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/15-01-2018/6892,29,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Saturday,2018-01-01,Palestine,Physical assault/Injuries ,Police or Israeli Intelligence ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/15-01-2018/6893,30,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Saturday,2018-01-01,Palestine,Physical assault/Injuries ,Police or Israeli Intelligence ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/15-01-2018/6893,30,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Monday,2018-01-01,Lebanon,Banned Movies/Plays/Songs ,Lebanese Security Services ,Media/Cultural Institution,Unspecified,1.0,https://www.skeyesmedia.org/en/News/News/15-01-2018/6894,31,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Saturday,2018-01-01,Lebanon,Banned Movies/Plays/Songs ,Lebanese Security Services ,Media/Cultural Institution,Unspecified,1.0,https://www.skeyesmedia.org/en/News/News/15-01-2018/6891,32,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Saturday,2018-01-01,Lebanon,Physical assault/Injuries ,Unknown Party ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/15-01-2018/6895,33,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Monday,2018-01-01,Lebanon,Summons ,Lebanese Security Services ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/16-01-2018/6897,34,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Tuesday,2018-01-01,Palestine,Ban on Publication/Distribution/Broadcast ,Police or Israeli Intelligence ,Media/Cultural Institution,Unspecified,1.0,https://www.skeyesmedia.org/en/News/News/16-01-2018/6898,35,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Tuesday,2018-01-01,Lebanon,Lawsuit ,Lebanese Judiciary ,Media/Cultural Institution,Unspecified,1.0,https://www.skeyesmedia.org/en/News/News/17-01-2018/6900,36,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Thursday,2018-01-01,Palestine,Summons ,Palestinian Security Services ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/17-01-2018/6901,37,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Friday,2018-01-01,Palestine,Physical assault/Injuries ,Police or Israeli Intelligence ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/17-01-2018/6903,38,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Thursday,2018-01-01,Lebanon,Summons ,Public Official ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/11-01-2018/6904,39,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Tuesday,2018-01-01,Jordan,Arrest ,Jordanian Judiciary ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/18-01-2018/6906,40,31.9454,35.9284,132.0,44.3,26.96,40.28,64.12,59.43,58.02,57.55
Tuesday,2018-01-01,Jordan,Arrest ,Jordanian Judiciary ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/18-01-2018/6906,40,31.9454,35.9284,132.0,44.3,26.96,40.28,64.12,59.43,58.02,57.55
Sunday,2018-02-02,Palestine,Defamation and Hate Speech ,Unknown ,Journalist,Female,1.0,https://www.skeyesmedia.org/en/News/News/28-02-2018/7005,41,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Wednesday,2018-02-02,Lebanon,Threat ,Public Official ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/26-02-2018/7003,42,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Thursday,2018-02-02,Palestine,Physical assault/Injuries ,Police or Israeli Intelligence ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/19-02-2018/7001,43,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Thursday,2018-02-02,Palestine,Physical assault/Injuries ,Police or Israeli Intelligence ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/19-02-2018/7001,43,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Thursday,2018-02-02,Lebanon,Summons ,Public Official ,Journalist,Female,1.0,https://www.skeyesmedia.org/en/News/News/23-02-2018/7000,44,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Sunday,2018-02-02,Palestine,Ban on Publication/Distribution/Broadcast ,Israeli Public Institution ,Media/Cultural Institution,Unspecified,1.0,https://www.skeyesmedia.org/en/News/News/22-02-2018/6997,45,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Wednesday,2018-02-02,Palestine,Physical assault/Injuries ,Police or Israeli Intelligence ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/22-02-2018/6998,46,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Tuesday,2018-02-02,Lebanon,Summons ,Lebanese Judiciary ,Journalist,Female,1.0,https://www.skeyesmedia.org/en/News/News/22-02-2018/6996,47,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Saturday,2018-02-02,Palestine,Job Obstruction ,Police or Israeli Intelligence ,Media/Cultural Institution,Unspecified,1.0,https://www.skeyesmedia.org/en/News/News/28-02-2018/7006,48,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Tuesday,2018-02-02,Syria,Killing ,Other,Activist,Male,1.0,https://www.skeyesmedia.org/en/News/News/06-02-2018/6993,49,34.8021,38.9968,179.0,17.41,1.47,0.0,3.3,3.77,1.41,0.47
Monday,2018-02-02,Jordan,Job Obstruction ,Social Media Company ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/22-02-2018/6999,50,31.9454,35.9284,132.0,44.3,26.96,40.28,64.12,59.43,58.02,57.55
Saturday,2018-02-02,Palestine,"Arrest 
Physical assault/Injuries ",Police or Israeli Intelligence ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/28-02-2018/7006,48,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Friday,2018-02-02,Palestine,Physical assault/Injuries ,Police or Israeli Intelligence ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/23-02-2018/7020,51,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Wednesday,2018-02-02,Palestine,Page/Website Shutdown ,Social Media Company ,Website/Page,Unspecified,1.0,https://www.skeyesmedia.org/en/News/News/02-03-2018/7008,52,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Monday,2018-02-02,Syria,Physical assault/Injuries ,Syrian Army ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/19-02-2018/7012,53,34.8021,38.9968,179.0,17.41,1.47,0.0,3.3,3.77,1.41,0.47
Tuesday,2018-02-02,Palestine,Threat ,Citizens ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/27-02-2018/7013,54,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Sunday,2018-02-02,Palestine,Detention ,Hamas ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/05-03-2018/7015,55,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Tuesday,2018-02-02,Syria,Killing ,Syrian Army ,Activist,Male,1.0,https://www.skeyesmedia.org/en/News/News/20-02-2018/7016,56,34.8021,38.9968,179.0,17.41,1.47,0.0,3.3,3.77,1.41,0.47
Friday,2018-02-02,Palestine,Detention ,Police or Israeli Intelligence ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/16-02-2018/7017,57,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Friday,2018-02-02,Palestine,Detention ,Police or Israeli Intelligence ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/16-02-2018/7017,57,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Sunday,2018-02-02,Palestine,Travel/Entry Ban ,Police or Israeli Intelligence ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/25-02-2018/7018,58,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Friday,2018-02-02,Palestine,Physical assault/Injuries ,Police or Israeli Intelligence ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/16-02-2018/7021,59,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Friday,2018-02-02,Palestine,Physical assault/Injuries ,Police or Israeli Intelligence ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/16-02-2018/7021,59,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Wednesday,2018-02-02,Syria,Physical assault/Injuries ,Syrian Army ,Activist,Male,1.0,https://www.skeyesmedia.org/en/News/News/07-02-2018/6992,60,34.8021,38.9968,179.0,17.41,1.47,0.0,3.3,3.77,1.41,0.47
Wednesday,2018-02-02,Lebanon,Fine ,Lebanese Judiciary ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/01-03-2018/7007,61,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Wednesday,2018-02-02,Syria,Physical assault/Injuries ,Syrian Army ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/07-02-2018/6991,62,34.8021,38.9968,179.0,17.41,1.47,0.0,3.3,3.77,1.41,0.47
Monday,2018-02-02,Palestine,Arrest ,Police or Israeli Intelligence ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/12-02-2018/6971,63,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Sunday,2018-02-02,Syria,Killing ,Syrian Army ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/20-02-2018/6989,64,34.8021,38.9968,179.0,17.41,1.47,0.0,3.3,3.77,1.41,0.47
Tuesday,2018-02-02,Palestine,Job Obstruction ,Palestinian Security Services ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/08-02-2018/6964,65,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Friday,2018-02-02,Palestine,Physical assault/Injuries ,Police or Israeli Intelligence ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/12-02-2018/6969,66,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Friday,2018-02-02,Palestine,Physical assault/Injuries ,Police or Israeli Intelligence ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/12-02-2018/6969,66,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Sunday,2018-02-02,Jordan,Arbitrary Dismissal ,Private Institution ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/05-02-2018/6970,67,31.9454,35.9284,132.0,44.3,26.96,40.28,64.12,59.43,58.02,57.55
Sunday,2018-02-02,Jordan,Arbitrary Dismissal ,Private Institution ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/05-02-2018/6970,67,31.9454,35.9284,132.0,44.3,26.96,40.28,64.12,59.43,58.02,57.55
Monday,2018-02-02,Lebanon,Building Break-In/Attack Against Building ,Unknown Party ,Journalists' Home,Unspecified,1.0,https://www.skeyesmedia.org/en/News/News/06-02-2018/6957,68,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Sunday,2018-02-02,Jordan,Arbitrary Dismissal ,Private Institution ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/05-02-2018/6970,67,31.9454,35.9284,132.0,44.3,26.96,40.28,64.12,59.43,58.02,57.55
Sunday,2018-02-02,Jordan,Arbitrary Dismissal ,Private Institution ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/05-02-2018/6970,67,31.9454,35.9284,132.0,44.3,26.96,40.28,64.12,59.43,58.02,57.55
Thursday,2018-02-02,Lebanon,Lawsuit ,Lebanese Judiciary ,Media/Cultural Institution,Unspecified,1.0,https://www.skeyesmedia.org/en/News/News/02-02-2018/6945,69,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Thursday,2018-02-02,Palestine,Arrest ,Israeli Judiciary ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/12-02-2018/6972,70,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Monday,2018-02-02,Jordan,Job Obstruction ,Public Institution ,Media/Cultural Institution,Unspecified,1.0,https://www.skeyesmedia.org/en/News/News/20-02-2018/6990,71,31.9454,35.9284,132.0,44.3,26.96,40.28,64.12,59.43,58.02,57.55
Friday,2018-02-02,Palestine,Detention ,Police or Israeli Intelligence ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/12-02-2018/6973,72,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Friday,2018-02-02,Palestine,Detention ,Police or Israeli Intelligence ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/12-02-2018/6973,72,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Friday,2018-02-02,Palestine,Detention ,Police or Israeli Intelligence ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/12-02-2018/6973,72,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Friday,2018-02-02,Palestine,Detention ,Police or Israeli Intelligence ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/12-02-2018/6973,72,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Sunday,2018-02-02,Jordan,Job Obstruction ,Public Institution ,Media/Cultural Institution,Unspecified,1.0,https://www.skeyesmedia.org/en/News/News/12-02-2018/6974,73,31.9454,35.9284,132.0,44.3,26.96,40.28,64.12,59.43,58.02,57.55
Saturday,2018-02-02,Jordan,Ban on Publication/Distribution/Broadcast ,Public Institution ,Artist,Female,1.0,https://www.skeyesmedia.org/en/News/News/12-02-2018/6975,74,31.9454,35.9284,132.0,44.3,26.96,40.28,64.12,59.43,58.02,57.55
Sunday,2018-02-02,Palestine,"Detention 
Summons ",Hamas ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/14-02-2018/6979,75,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Friday,2018-02-02,Lebanon,Summons ,Lebanese Judiciary ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/16-02-2018/6982,76,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Friday,2018-02-02,Lebanon,Summons ,Lebanese Judiciary ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/16-02-2018/6982,76,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Thursday,2018-02-02,Palestine,Arrest ,Police or Israeli Intelligence ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/19-02-2018/6986,77,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Saturday,2018-02-02,Palestine,Physical assault/Injuries ,Police or Israeli Intelligence ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/20-02-2018/6988,78,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Friday,2018-02-02,Palestine,Detention ,Police or Israeli Intelligence ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/12-02-2018/6973,72,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Sunday,2018-02-02,Jordan,Job Obstruction ,Jordanian Security Services ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/06-02-2018/6958,79,31.9454,35.9284,132.0,44.3,26.96,40.28,64.12,59.43,58.02,57.55
Thursday,2018-03-03,Syria,Killing ,Syrian Army ,Activist,Male,1.0,https://www.skeyesmedia.org/en/News/News/27-03-2018/7074,80,34.8021,38.9968,179.0,17.41,1.47,0.0,3.3,3.77,1.41,0.47
Friday,2018-03-03,Palestine,Detention ,Police or Israeli Intelligence ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/29-03-2018/7071,81,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Saturday,2018-03-03,Palestine,Detention ,Police or Israeli Intelligence ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/29-03-2018/7072,82,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Monday,2018-03-03,Palestine,Job Obstruction ,Palestinian Private Institution ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/27-03-2018/7066,83,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Friday,2018-03-03,Palestine,Physical assault/Injuries ,Police or Israeli Intelligence ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/27-03-2018/7063,84,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
