Day,Date,Country,Violation_Nature,Attackers,Victim_Occupation,Gender,Total_Victims,Article,Violation_ID,Country_Latitude,Country_Longitude,RSF_Index,RSF_Score,WB_VA,WB_PS,WB_GovE,WB_RQ,WB_RoL,WB_CoC
Monday,2020-05-05,Jordan,Arbitrary Dismissal ,Private Institution ,Unspecified,Unspecified,1.0,https://www.skeyesmedia.org/en/News/News/20-05-2020/8561,1017,31.9454,35.9284,132.0,44.3,26.96,40.28,64.12,59.43,58.02,57.55
Monday,2020-05-05,Jordan,Arbitrary Dismissal ,Private Institution ,Unspecified,Unspecified,1.0,https://www.skeyesmedia.org/en/News/News/20-05-2020/8561,1017,31.9454,35.9284,132.0,44.3,26.96,40.28,64.12,59.43,58.02,57.55
Monday,2020-05-05,Jordan,Arbitrary Dismissal ,Private Institution ,Unspecified,Unspecified,1.0,https://www.skeyesmedia.org/en/News/News/20-05-2020/8561,1017,31.9454,35.9284,132.0,44.3,26.96,40.28,64.12,59.43,58.02,57.55
Monday,2020-05-05,Jordan,Arbitrary Dismissal ,Private Institution ,Unspecified,Unspecified,1.0,https://www.skeyesmedia.org/en/News/News/20-05-2020/8561,1017,31.9454,35.9284,132.0,44.3,26.96,40.28,64.12,59.43,58.02,57.55
Monday,2020-05-05,Jordan,Arbitrary Dismissal ,Private Institution ,Unspecified,Unspecified,1.0,https://www.skeyesmedia.org/en/News/News/20-05-2020/8561,1017,31.9454,35.9284,132.0,44.3,26.96,40.28,64.12,59.43,58.02,57.55
Monday,2020-05-05,Jordan,Arbitrary Dismissal ,Private Institution ,Unspecified,Unspecified,1.0,https://www.skeyesmedia.org/en/News/News/20-05-2020/8561,1017,31.9454,35.9284,132.0,44.3,26.96,40.28,64.12,59.43,58.02,57.55
Monday,2020-05-05,Jordan,Arbitrary Dismissal ,Private Institution ,Unspecified,Unspecified,1.0,https://www.skeyesmedia.org/en/News/News/20-05-2020/8561,1017,31.9454,35.9284,132.0,44.3,26.96,40.28,64.12,59.43,58.02,57.55
Monday,2020-05-05,Jordan,Arbitrary Dismissal ,Private Institution ,Unspecified,Unspecified,1.0,https://www.skeyesmedia.org/en/News/News/20-05-2020/8561,1017,31.9454,35.9284,132.0,44.3,26.96,40.28,64.12,59.43,58.02,57.55
Monday,2020-05-05,Jordan,Arbitrary Dismissal ,Private Institution ,Unspecified,Unspecified,1.0,https://www.skeyesmedia.org/en/News/News/20-05-2020/8561,1017,31.9454,35.9284,132.0,44.3,26.96,40.28,64.12,59.43,58.02,57.55
Monday,2020-05-05,Jordan,Arbitrary Dismissal ,Private Institution ,Unspecified,Unspecified,1.0,https://www.skeyesmedia.org/en/News/News/20-05-2020/8561,1017,31.9454,35.9284,132.0,44.3,26.96,40.28,64.12,59.43,58.02,57.55
Monday,2020-05-05,Jordan,Arbitrary Dismissal ,Private Institution ,Unspecified,Unspecified,1.0,https://www.skeyesmedia.org/en/News/News/20-05-2020/8561,1017,31.9454,35.9284,132.0,44.3,26.96,40.28,64.12,59.43,58.02,57.55
Tuesday,2020-06-06,Jordan,Arrest ,Jordanian Judiciary ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/25-06-2020/8662,1042,31.9454,35.9284,132.0,44.3,26.96,40.28,64.12,59.43,58.02,57.55
Wednesday,2020-06-06,Lebanon,Physical assault/Injuries ,Lebanese Security Services ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/25-06-2020/8661,1043,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Wednesday,2020-06-06,Lebanon,Physical assault/Injuries ,Lebanese Security Services ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/25-06-2020/8661,1043,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Wednesday,2020-06-06,Lebanon,Physical assault/Injuries ,Lebanese Security Services ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/25-06-2020/8661,1043,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Wednesday,2020-06-06,Lebanon,Physical assault/Injuries ,Lebanese Security Services ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/25-06-2020/8661,1043,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Wednesday,2020-06-06,Lebanon,Physical assault/Injuries ,Lebanese Security Services ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/25-06-2020/8661,1043,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Wednesday,2020-06-06,Palestine,Arrest ,Israeli Army ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/25-06-2020/8660,1044,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Friday,2020-06-06,Palestine,"Detention 
Summons ",Hamas ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/19-06-2020/8652,1045,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Tuesday,2020-06-06,Palestine,Summons ,Hamas ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/24-06-2020/8658,1046,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Thursday,2020-06-06,Palestine,Arrest ,Hamas ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/18-06-2020/8654,1047,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Thursday,2020-06-06,Lebanon,Threat ,Unknown Party ,Journalist,Female,1.0,https://www.skeyesmedia.org/en/News/News/22-06-2020/8653,1048,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Wednesday,2020-06-06,Lebanon,Summons ,Lebanese Security Services ,Activist,Male,1.0,https://www.skeyesmedia.org/en/News/News/18-06-2020/8648,1049,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Wednesday,2020-06-06,Lebanon,Summons ,Lebanese Security Services ,Artist,Female,1.0,https://www.skeyesmedia.org/en/News/News/18-06-2020/8647,1050,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Wednesday,2020-06-06,Palestine,Physical assault/Injuries ,Israeli Army ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/25-06-2020/8694,1051,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Tuesday,2020-06-06,Jordan,Arrest ,Jordanian Judiciary ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/25-06-2020/8662,1042,31.9454,35.9284,132.0,44.3,26.96,40.28,64.12,59.43,58.02,57.55
Tuesday,2020-06-06,Lebanon,Summons ,Lebanese Security Services ,Journalist,Female,1.0,https://www.skeyesmedia.org/en/News/News/24-06-2020/8659,1052,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Thursday,2020-06-06,Palestine,Pre-trial Detention ,Palestinian Judiciary ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/26-06-2020/8663,1053,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Wednesday,2020-06-06,Palestine,Physical assault/Injuries ,Israeli Army ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/25-06-2020/8694,1051,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Thursday,2020-06-06,Lebanon,Lawsuit ,Citizens ,Media/Cultural Institution,Unspecified,1.0,https://www.skeyesmedia.org/en/News/News/26-06-2020/8666,1054,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Wednesday,2020-06-06,Palestine,Physical assault/Injuries ,Israeli Army ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/25-06-2020/8694,1051,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Friday,2020-06-06,Palestine,Physical assault/Injuries ,Israeli Army ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/13-06-2020/8693,1055,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Saturday,2020-06-06,Lebanon,Lawsuit ,Public Official ,Media/Cultural Institution,Unspecified,1.0,https://www.skeyesmedia.org/en/News/News/30-06-2020/8677,1056,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Friday,2020-06-06,Palestine,Physical assault/Injuries ,Israeli Army ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/13-06-2020/8693,1055,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Friday,2020-06-06,Palestine,Physical assault/Injuries ,Israeli Army ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/13-06-2020/8693,1055,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Saturday,2020-06-06,Lebanon,Lawsuit ,Public Official ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/30-06-2020/8677,1056,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Monday,2020-06-06,Lebanon,Summons ,Lebanese Security Services ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/30-06-2020/8676,1057,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Thursday,2020-06-06,Lebanon,Lawsuit ,Citizens ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/26-06-2020/8666,1054,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Tuesday,2020-06-06,Lebanon,Lawsuit ,Lebanese Judiciary ,Media/Cultural Institution,Unspecified,1.0,https://www.skeyesmedia.org/en/News/News/17-06-2020/8645,1058,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Sunday,2020-06-06,Lebanon,Physical assault/Injuries ,Lebanese Army ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/29-06-2020/8675,1059,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Sunday,2020-06-06,Lebanon,Physical assault/Injuries ,Lebanese Army ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/29-06-2020/8675,1059,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Sunday,2020-06-06,Lebanon,Physical assault/Injuries ,Lebanese Army ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/29-06-2020/8675,1059,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Sunday,2020-06-06,Lebanon,Physical assault/Injuries ,Lebanese Army ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/29-06-2020/8675,1059,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Sunday,2020-06-06,Lebanon,Physical assault/Injuries ,Lebanese Army ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/29-06-2020/8675,1059,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Sunday,2020-06-06,Palestine,Summons ,Hamas ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/29-06-2020/8674,1060,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Saturday,2020-06-06,Lebanon,Ban on Publication/Distribution/Broadcast ,Lebanese Judiciary ,Unspecified,Female,1.0,https://www.skeyesmedia.org/en/News/News/27-06-2020/8667,1061,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Monday,2020-06-06,Jordan,Defamation and Hate Speech ,Citizens ,Journalist,Female,1.0,https://www.skeyesmedia.org/en/News/News/01-07-2020/8679,1062,31.9454,35.9284,132.0,44.3,26.96,40.28,64.12,59.43,58.02,57.55
Friday,2020-06-06,Palestine,Detention ,Israeli Army ,Artist,Male,1.0,https://www.skeyesmedia.org/en/News/News/17-06-2020/8644,1063,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Wednesday,2020-06-06,Syria,Physical assault/Injuries ,Hayat Tahrir Al-Sham (HTS) ,Activist,Female,1.0,https://www.skeyesmedia.org/en/News/News/12-06-2020/8630,1064,34.8021,38.9968,179.0,17.41,1.47,0.0,3.3,3.77,1.41,0.47
Wednesday,2020-06-06,Lebanon,Summons ,Lebanese Security Services ,Activist,Male,1.0,https://www.skeyesmedia.org/en/News/News/11-06-2020/8623,1065,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Wednesday,2020-06-06,Lebanon,Summons ,Lebanese Security Services ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/04-06-2020/8603,1066,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Tuesday,2020-06-06,Palestine,Summons ,Israeli Security Services ,Journalist,Female,1.0,https://www.skeyesmedia.org/en/News/News/04-06-2020/8613,1068,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Sunday,2020-06-06,Palestine,Job Obstruction ,Unknown ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/08-06-2020/8618,1069,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Tuesday,2020-06-06,Palestine,Arrest ,Palestinian Security Services ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/10-06-2020/8622,1070,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Saturday,2020-06-06,Palestine,Physical assault/Injuries ,Israeli Army ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/10-06-2020/8625,1071,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Saturday,2020-06-06,Palestine,Physical assault/Injuries ,Israeli Army ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/10-06-2020/8625,1071,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Saturday,2020-06-06,Palestine,Physical assault/Injuries ,Israeli Army ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/10-06-2020/8625,1071,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Saturday,2020-06-06,Palestine,Physical assault/Injuries ,Israeli Army ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/10-06-2020/8625,1071,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Thursday,2020-06-06,Lebanon,Lawsuit ,Citizens ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/12-06-2020/8628,1072,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Thursday,2020-06-06,Lebanon,Lawsuit ,Citizens ,Media/Cultural Institution,Unspecified,1.0,https://www.skeyesmedia.org/en/News/News/12-06-2020/8628,1072,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Wednesday,2020-06-06,Syria,Physical assault/Injuries ,Hayat Tahrir Al-Sham (HTS) ,Activist,Male,1.0,https://www.skeyesmedia.org/en/News/News/12-06-2020/8630,1064,34.8021,38.9968,179.0,17.41,1.47,0.0,3.3,3.77,1.41,0.47
Wednesday,2020-06-06,Syria,Physical assault/Injuries ,Hayat Tahrir Al-Sham (HTS) ,Activist,Male,1.0,https://www.skeyesmedia.org/en/News/News/12-06-2020/8630,1064,34.8021,38.9968,179.0,17.41,1.47,0.0,3.3,3.77,1.41,0.47
Wednesday,2020-06-06,Syria,Physical assault/Injuries ,Hayat Tahrir Al-Sham (HTS) ,Activist,Male,1.0,https://www.skeyesmedia.org/en/News/News/12-06-2020/8630,1064,34.8021,38.9968,179.0,17.41,1.47,0.0,3.3,3.77,1.41,0.47
Friday,2020-06-06,Lebanon,Physical assault/Injuries ,Lebanese Security Services ,Journalist,Female,1.0,https://www.skeyesmedia.org/en/News/News/13-06-2020/8629,1073,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Wednesday,2020-06-06,Syria,Physical assault/Injuries ,Hayat Tahrir Al-Sham (HTS) ,Activist,Male,1.0,https://www.skeyesmedia.org/en/News/News/12-06-2020/8630,1064,34.8021,38.9968,179.0,17.41,1.47,0.0,3.3,3.77,1.41,0.47
Sunday,2020-06-06,Lebanon,Job Obstruction ,Citizens ,Journalist,Female,1.0,https://www.skeyesmedia.org/en/News/News/14-06-2020/8637,1074,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Thursday,2020-06-06,Palestine,Detention ,Palestinian Judiciary ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/11-06-2020/8636,1075,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Wednesday,2020-06-06,Syria,Physical assault/Injuries ,Hayat Tahrir Al-Sham (HTS) ,Activist,Male,1.0,https://www.skeyesmedia.org/en/News/News/12-06-2020/8630,1064,34.8021,38.9968,179.0,17.41,1.47,0.0,3.3,3.77,1.41,0.47
Tuesday,2020-06-06,Palestine,Job Obstruction ,Israeli Security Services ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/14-06-2020/8633,1076,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Wednesday,2020-06-06,Syria,Physical assault/Injuries ,Hayat Tahrir Al-Sham (HTS) ,Activist,Male,1.0,https://www.skeyesmedia.org/en/News/News/12-06-2020/8630,1064,34.8021,38.9968,179.0,17.41,1.47,0.0,3.3,3.77,1.41,0.47
Saturday,2020-06-06,Palestine,Travel/Entry Ban ,Israeli Security Services ,Journalist,Female,1.0,https://www.skeyesmedia.org/en/News/News/07-06-2020/8635,1077,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Wednesday,2020-06-06,Syria,Physical assault/Injuries ,Hayat Tahrir Al-Sham (HTS) ,Activist,Male,1.0,https://www.skeyesmedia.org/en/News/News/12-06-2020/8630,1064,34.8021,38.9968,179.0,17.41,1.47,0.0,3.3,3.77,1.41,0.47
Wednesday,2020-06-06,Syria,Physical assault/Injuries ,Hayat Tahrir Al-Sham (HTS) ,Activist,Male,1.0,https://www.skeyesmedia.org/en/News/News/12-06-2020/8630,1064,34.8021,38.9968,179.0,17.41,1.47,0.0,3.3,3.77,1.41,0.47
Wednesday,2020-06-06,Syria,Physical assault/Injuries ,Hayat Tahrir Al-Sham (HTS) ,Activist,Male,1.0,https://www.skeyesmedia.org/en/News/News/12-06-2020/8630,1064,34.8021,38.9968,179.0,17.41,1.47,0.0,3.3,3.77,1.41,0.47
Wednesday,2020-06-06,Syria,Physical assault/Injuries ,Hayat Tahrir Al-Sham (HTS) ,Activist,Male,1.0,https://www.skeyesmedia.org/en/News/News/12-06-2020/8630,1064,34.8021,38.9968,179.0,17.41,1.47,0.0,3.3,3.77,1.41,0.47
Thursday,2020-07-07,Palestine,Detention ,Hamas ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/14-07-2020/8713,1078,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Wednesday,2020-07-07,Palestine,Interrogation Under Pressure ,Israeli Security Services ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/16-07-2020/8725,1079,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Wednesday,2020-07-07,Palestine,Summons ,Hamas ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/12-07-2020/8705,1080,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Tuesday,2020-07-07,Palestine,Job Obstruction ,Hamas ,Media/Cultural Institution,Unspecified,1.0,https://www.skeyesmedia.org/en/News/News/25-07-2020/8736,1081,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Friday,2020-07-07,Lebanon,Summons ,Lebanese Judiciary ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/11-07-2020/8704,1082,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Wednesday,2020-07-07,Palestine,Ban on Publication/Distribution/Broadcast ,Hamas ,Media/Cultural Institution,Unspecified,1.0,https://www.skeyesmedia.org/en/News/News/17-07-2020/8726,1083,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Sunday,2020-07-07,Palestine,Summons ,Hamas ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/20-07-2020/8729,1084,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Monday,2020-07-07,Palestine,Arrest ,Hamas ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/20-07-2020/8731,1085,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Wednesday,2020-07-07,Palestine,Detention ,Israeli Security Services ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/25-07-2020/8735,1086,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Tuesday,2020-07-07,Palestine,Job Obstruction ,Hamas ,Media/Cultural Institution,Unspecified,1.0,https://www.skeyesmedia.org/en/News/News/25-07-2020/8736,1081,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Tuesday,2020-07-07,Palestine,Job Obstruction ,Hamas ,Media/Cultural Institution,Unspecified,1.0,https://www.skeyesmedia.org/en/News/News/25-07-2020/8736,1081,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Monday,2020-07-07,Palestine,Arrest ,Hamas ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/20-07-2020/8731,1085,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Saturday,2020-07-07,Palestine,Defamation and Hate Speech ,Citizens ,Artist,Female,1.0,https://www.skeyesmedia.org/en/News/News/27-07-2020/8741,1087,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Thursday,2020-07-07,Palestine,Building Break-In/Attack Against Building ,Israeli Security Services ,Media/Cultural Institution,Unspecified,1.0,https://www.skeyesmedia.org/en/News/News/27-07-2020/8743,1088,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Thursday,2020-07-07,Palestine,Building Break-In/Attack Against Building ,Israeli Security Services ,Media/Cultural Institution,Unspecified,1.0,https://www.skeyesmedia.org/en/News/News/27-07-2020/8743,1088,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Saturday,2020-07-07,Jordan,Ban on Publication/Distribution/Broadcast ,Jordanian Judiciary ,Media/Cultural Institution,Unspecified,1.0,https://www.skeyesmedia.org/en/News/News/27-07-2020/8744,1089,31.9454,35.9284,132.0,44.3,26.96,40.28,64.12,59.43,58.02,57.55
Monday,2020-07-07,Palestine,Threat ,Citizens ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/28-07-2020/8745,1090,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Wednesday,2020-07-07,Lebanon,Page/Website Shutdown ,Public Institution ,Media/Cultural Institution,Unspecified,1.0,https://www.skeyesmedia.org/en/News/News/28-07-2020/8746,1091,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Tuesday,2020-07-07,Jordan,Summons ,Jordanian Judiciary ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/31-07-2020/8749,1092,31.9454,35.9284,132.0,44.3,26.96,40.28,64.12,59.43,58.02,57.55
Wednesday,2020-07-07,Palestine,Damage to Equipment ,Unknown ,Broadcasting/ Journalist's Car,Female,1.0,https://www.skeyesmedia.org/en/News/News/09-07-2020/8696,1093,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Monday,2020-07-07,Syria,Arrest ,Syrian Army ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/30-07-2020/8758,1094,34.8021,38.9968,179.0,17.41,1.47,0.0,3.3,3.77,1.41,0.47
Wednesday,2020-07-07,Palestine,Summons ,Palestinian Judiciary ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/06-08-2020/8760,1095,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Saturday,2020-07-07,Syria,Other,Public Institution ,Media/Cultural Institution,Unspecified,1.0,https://www.skeyesmedia.org/en/News/News/13-07-2020/8798,1096,34.8021,38.9968,179.0,17.41,1.47,0.0,3.3,3.77,1.41,0.47
Thursday,2020-07-07,Lebanon,Lawsuit ,Public Official ,Media/Cultural Institution,Unspecified,1.0,https://www.skeyesmedia.org/en/News/News/25-07-2020/8737,1097,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Wednesday,2020-07-07,Lebanon,Threat ,Party Supporters ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/09-07-2020/8695,1098,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Monday,2020-07-07,Lebanon,Job Obstruction ,Lebanese Army ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/07-07-2020/8690,1099,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Wednesday,2020-07-07,Lebanon,Physical assault/Injuries ,Lebanese Security Services ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/01-07-2020/8678,1100,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Saturday,2020-07-07,Lebanon,Arrest ,Lebanese Security Services ,Activist,Male,1.0,https://www.skeyesmedia.org/en/News/News/18-06-2020/8649,1101,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Wednesday,2020-07-07,Lebanon,Physical assault/Injuries ,Lebanese Security Services ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/01-07-2020/8678,1100,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Wednesday,2020-07-07,Lebanon,Physical assault/Injuries ,Lebanese Security Services ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/01-07-2020/8678,1100,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Wednesday,2020-07-07,Lebanon,Physical assault/Injuries ,Lebanese Security Services ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/01-07-2020/8678,1100,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Wednesday,2020-07-07,Lebanon,Physical assault/Injuries ,Lebanese Security Services ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/01-07-2020/8678,1100,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Wednesday,2020-07-07,Lebanon,Physical assault/Injuries ,Lebanese Security Services ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/01-07-2020/8678,1100,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Wednesday,2020-07-07,Lebanon,Summons ,Lebanese Security Services ,Artist,Male,1.0,https://www.skeyesmedia.org/en/News/News/02-07-2020/8680,1102,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
